id,nome,descricao,dano
73,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
74,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
75,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
76,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
77,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
78,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
79,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
80,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
81,slam,Inflicts regular damage.,80
82,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
83,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
84,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
85,slam,Inflicts regular damage.,80
86,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
87,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
88,mega-punch,Inflicts regular damage.,80
89,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
90,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
91,slam,Inflicts regular damage.,80
92,mega-punch,Inflicts regular damage.,80
93,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
94,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
95,slam,Inflicts regular damage.,80
96,scratch,Inflicts regular damage.,40
97,cut,Inflicts regular damage.,50
98,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
99,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
100,scratch,Inflicts regular damage.,40
101,cut,Inflicts regular damage.,50
102,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
103,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
104,scratch,Inflicts regular damage.,40
105,cut,Inflicts regular damage.,50
106,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
107,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
108,scratch,Inflicts regular damage.,40
109,cut,Inflicts regular damage.,50
110,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
111,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
112,mega-punch,Inflicts regular damage.,80
113,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
114,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
115,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
116,cut,Inflicts regular damage.,50
117,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
118,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
119,horn-attack,Inflicts regular damage.,65
120,cut,Inflicts regular damage.,50
121,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
122,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
123,horn-attack,Inflicts regular damage.,65
124,mega-punch,Inflicts regular damage.,80
125,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
126,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
127,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
128,pound,Inflicts regular damage.,40
129,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
130,mega-punch,Inflicts regular damage.,80
131,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
132,pound,Inflicts regular damage.,40
133,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
134,mega-punch,Inflicts regular damage.,80
135,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
136,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
137,tackle,Inflicts regular damage.,40
138,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
139,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
140,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
141,tackle,Inflicts regular damage.,40
142,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
143,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
144,pound,Inflicts regular damage.,40
145,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
146,mega-punch,Inflicts regular damage.,80
147,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
148,pound,Inflicts regular damage.,40
149,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
150,mega-punch,Inflicts regular damage.,80
151,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
152,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
153,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
154,wing-attack,Inflicts regular damage.,60
155,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
156,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
157,wing-attack,Inflicts regular damage.,60
158,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90
159,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
160,cut,Inflicts regular damage.,50
161,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
162,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
163,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
164,cut,Inflicts regular damage.,50
165,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
166,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
167,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
168,cut,Inflicts regular damage.,50
169,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
170,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
171,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
172,scratch,Inflicts regular damage.,40
173,cut,Inflicts regular damage.,50
174,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
175,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
176,scratch,Inflicts regular damage.,40
177,cut,Inflicts regular damage.,50
178,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
179,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
180,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
181,tackle,Inflicts regular damage.,40
182,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
183,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
184,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80
185,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40
186,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
187,tackle,Inflicts regular damage.,40
188,scratch,Inflicts regular damage.,40
189,cut,Inflicts regular damage.,50
190,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
191,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
192,scratch,Inflicts regular damage.,40
193,cut,Inflicts regular damage.,50
194,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
195,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
196,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
197,scratch,Inflicts regular damage.,40
198,cut,Inflicts regular damage.,50
199,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
200,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
201,scratch,Inflicts regular damage.,40
202,cut,Inflicts regular damage.,50
203,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
204,mega-punch,Inflicts regular damage.,80
205,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
206,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
207,scratch,Inflicts regular damage.,40
208,mega-punch,Inflicts regular damage.,80
209,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
210,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
211,scratch,Inflicts regular damage.,40
212,karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,50
213,mega-punch,Inflicts regular damage.,80
214,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
215,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
216,karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,50
217,mega-punch,Inflicts regular damage.,80
218,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
219,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
220,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
221,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
222,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
223,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
224,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
225,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
226,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90
227,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120
228,pound,Inflicts regular damage.,40
229,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
230,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
231,body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,85
232,pound,Inflicts regular damage.,40
233,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
234,mega-punch,Inflicts regular damage.,80
235,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
236,pound,Inflicts regular damage.,40
237,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15
238,mega-punch,Inflicts regular damage.,80
239,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
240,mega-punch,Inflicts regular damage.,80
241,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
242,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
243,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
244,mega-punch,Inflicts regular damage.,80
245,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
246,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
247,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
248,mega-punch,Inflicts regular damage.,80
249,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
250,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
251,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
252,karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,50
253,mega-punch,Inflicts regular damage.,80
254,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
255,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
256,karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,50
257,mega-punch,Inflicts regular damage.,80
258,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
259,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
260,karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,50
261,mega-punch,Inflicts regular damage.,80
262,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
263,ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,75
264,cut,Inflicts regular damage.,50
265,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
266,slam,Inflicts regular damage.,80
267,vine-whip,Inflicts regular damage.,45
268,cut,Inflicts regular damage.,50
269,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
270,slam,Inflicts regular damage.,80
271,vine-whip,Inflicts regular damage.,45
272,cut,Inflicts regular damage.,50
273,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
274,vine-whip,Inflicts regular damage.,45
275,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
276,cut,Inflicts regular damage.,50
277,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
278,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
279,wrap,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
280,cut,Inflicts regular damage.,50
281,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
282,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
283,wrap,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15
284,mega-punch,Inflicts regular damage.,80
285,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
286,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
287,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
288,mega-punch,Inflicts regular damage.,80
289,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
290,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
291,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
292,mega-punch,Inflicts regular damage.,80
293,fire-punch,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,75
294,thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,75
295,mega-kick,Inflicts regular damage.,120
296,stomp,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65
297,double-kick,Inflicts regular damage.  Hits twice in one turn.,30
298,headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,70
299,tackle,Inflicts regular damage.,40
300,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40
